$type,id,operationType,vehicleId,naptanId,stationName,lineId,lineName,platformName,direction,bearing,destinationNaptanId,destinationName,timestamp,timeToStation,currentLocation,towards,expectedArrival,timeToLive,modeName,timing.$type,timing.countdownServerAdjustment,timing.source,timing.insert,timing.read,timing.sent,timing.received,api_fetch_time
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-1886044796,1,7,940GZZLUHGR,Hanger Lane Underground Station,central,Central,Westbound - Platform 1,inbound,,940GZZLUWRP,West Ruislip Underground Station,2025-11-27T11:25:53.940421Z,917,At Notting Hill Gate,West Ruislip,2025-11-27T11:41:10Z,2025-11-27T11:41:10Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:26:02.321Z,2025-11-27T11:25:53Z,0001-01-01T00:00:00,2025-11-27 11:26:25
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-607605957,1,13,940GZZLUHPK,Holland Park Underground Station,central,Central,Westbound - Platform 1,inbound,,940GZZLUWRP,West Ruislip Underground Station,2025-11-27T11:25:53.940421Z,616,At Oxford Circus,West Ruislip,2025-11-27T11:36:09Z,2025-11-27T11:36:09Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:26:03.057Z,2025-11-27T11:25:53Z,0001-01-01T00:00:00,2025-11-27 11:26:25
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",896436210,1,51,940GZZLUNBP,Newbury Park Underground Station,central,Central,Inner Rail - Platform 2,outbound,,940GZZLUHLT,Hainault Underground Station,2025-11-27T11:25:53.940421Z,764,Between Stratford and Leyton,Hainault via Newbury Park,2025-11-27T11:38:37Z,2025-11-27T11:38:37Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:25:41.688Z,2025-11-27T11:25:53Z,0001-01-01T00:00:00,2025-11-27 11:26:25
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-2011966959,1,5,940GZZLUWRP,West Ruislip Underground Station,central,Central,Eastbound - Platform 1,,,940GZZLUWRP,West Ruislip Underground Station,2025-11-27T11:25:53.940421Z,465,At Northolt,West Ruislip,2025-11-27T11:33:38Z,2025-11-27T11:33:38Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:25:43.456Z,2025-11-27T11:25:53Z,0001-01-01T00:00:00,2025-11-27 11:26:25
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",99299806,1,61,940GZZLULYN,Leyton Underground Station,central,Central,Eastbound - Platform 2,outbound,,940GZZLUNBP,Newbury Park Underground Station,2025-11-27T11:25:53.940421Z,1336,At Holborn,Newbury Park,2025-11-27T11:48:09Z,2025-11-27T11:48:09Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:26:03.919Z,2025-11-27T11:25:53Z,0001-01-01T00:00:00,2025-11-27 11:26:25
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-405552257,1,102,940GZZLUCHL,Chancery Lane Underground Station,central,Central,Eastbound - Platform 2,outbound,,940GZZLUNBP,Newbury Park Underground Station,2025-11-27T11:25:53.940421Z,1276,At White City Sidings,Newbury Park,2025-11-27T11:47:09Z,2025-11-27T11:47:09Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:26:00.7Z,2025-11-27T11:25:53Z,0001-01-01T00:00:00,2025-11-27 11:26:25
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-870363048,1,3,940GZZLUSBC,Shepherd's Bush (Central) Underground Station,central,Central,Eastbound - Platform 2,outbound,,940GZZLUEPG,Epping Underground Station,2025-11-27T11:25:53.940421Z,1424,Approaching Ruislip Gardens,Epping,2025-11-27T11:49:37Z,2025-11-27T11:49:37Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:25:42.736Z,2025-11-27T11:25:53Z,0001-01-01T00:00:00,2025-11-27 11:26:25
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",1349385691,1,32,940GZZLUBKH,Buckhurst Hill Underground Station,central,Central,Eastbound - Platform 2,outbound,,940GZZLUEPG,Epping Underground Station,2025-11-27T11:25:53.940421Z,1817,Between St. Paul's and Bank,Epping,2025-11-27T11:56:10Z,2025-11-27T11:56:10Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:26:00.418Z,2025-11-27T11:25:53Z,0001-01-01T00:00:00,2025-11-27 11:26:25
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-486814309,1,2,940GZZLUMBA,Marble Arch Underground Station,central,Central,Eastbound - Platform 2,outbound,,940GZZLUEPG,Epping Underground Station,2025-11-27T11:25:53.940421Z,1577,Between Northolt and Greenford,Epping,2025-11-27T11:52:10Z,2025-11-27T11:52:10Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:26:07.268Z,2025-11-27T11:25:53Z,0001-01-01T00:00:00,2025-11-27 11:26:25
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",1120748877,1,12,940GZZLUSPU,St. Paul's Underground Station,central,Central,Westbound - Platform 1,inbound,,940GZZLUNAN,North Acton Underground Station,2025-11-27T11:25:53.940421Z,824,Between Stratford and Mile End,North Acton,2025-11-27T11:39:37Z,2025-11-27T11:39:37Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:25:43.054Z,2025-11-27T11:25:53Z,0001-01-01T00:00:00,2025-11-27 11:26:25
