$type,id,operationType,vehicleId,naptanId,stationName,lineId,lineName,platformName,direction,bearing,destinationNaptanId,destinationName,timestamp,timeToStation,currentLocation,towards,expectedArrival,timeToLive,modeName,timing.$type,timing.countdownServerAdjustment,timing.source,timing.insert,timing.read,timing.sent,timing.received,api_fetch_time
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-2038754488,1,230,940GZZLUSKS,South Kensington Underground Station,piccadilly,Piccadilly,Westbound - Platform 3,inbound,,940GZZLURYL,Rayners Lane Underground Station,2025-11-27T12:45:58.3134238Z,74,Left Knightsbridge,Rayners Lane,2025-11-27T12:47:12Z,2025-11-27T12:47:12Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T12:45:31.38Z,2025-11-27T12:45:58Z,0001-01-01T00:00:00,2025-11-27 12:46:30
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",318421996,1,322,940GZZLUECT,Earl's Court Underground Station,piccadilly,Piccadilly,Westbound - Platform 6,inbound,,940GZZLUHR4,Heathrow Terminal 4 Underground Station,2025-11-27T12:45:58.3134238Z,1634,At Finsbury Park Platform 3,Heathrow via T4 Loop,2025-11-27T13:13:12Z,2025-11-27T13:13:12Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T12:45:16.621Z,2025-11-27T12:45:58Z,0001-01-01T00:00:00,2025-11-27 12:46:30
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",1665078479,1,223,940GZZLUASG,Arnos Grove Underground Station,piccadilly,Piccadilly,Eastbound - Platform 1,outbound,,940GZZLUCKS,Cockfosters Underground Station,2025-11-27T12:45:58.3134238Z,1036,Between Arsenal and Finsbury Park,Cockfosters,2025-11-27T13:03:14Z,2025-11-27T13:03:14Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T12:46:12.145Z,2025-11-27T12:45:58Z,0001-01-01T00:00:00,2025-11-27 12:46:30
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",675658132,1,234,940GZZLUTPN,Turnpike Lane Underground Station,piccadilly,Piccadilly,EastBound - Platform 1,outbound,,940GZZLUCKS,Cockfosters Underground Station,2025-11-27T12:45:58.3134238Z,1095,Between Covent Garden and Holborn,Cockfosters,2025-11-27T13:04:13Z,2025-11-27T13:04:13Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T12:45:32.268Z,2025-11-27T12:45:58Z,0001-01-01T00:00:00,2025-11-27 12:46:30
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-1110734381,1,324,940GZZLUWOG,Wood Green Underground Station,piccadilly,Piccadilly,EastBound - Platform 1,outbound,,940GZZLUCKS,Cockfosters Underground Station,2025-11-27T12:45:58.3134238Z,495,At Finsbury Park Platform 1,Cockfosters,2025-11-27T12:54:13Z,2025-11-27T12:54:13Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T12:45:32.393Z,2025-11-27T12:45:58Z,0001-01-01T00:00:00,2025-11-27 12:46:30
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-1374883671,1,223,940GZZLUCKS,Cockfosters Underground Station,piccadilly,Piccadilly,Westbound - Platform 4,,,940GZZLUCKS,Cockfosters Underground Station,2025-11-27T12:45:58.3134238Z,1694,At Arsenal Platform 1,Cockfosters,2025-11-27T13:14:12Z,2025-11-27T13:14:12Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T12:45:15.875Z,2025-11-27T12:45:58Z,0001-01-01T00:00:00,2025-11-27 12:46:30
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",1507634419,1,230,940GZZLUSUT,Sudbury Town Underground Station,piccadilly,Piccadilly,Westbound - Platform 1,inbound,,940GZZLURYL,Rayners Lane Underground Station,2025-11-27T12:45:58.3134238Z,1694,Left Knightsbridge,Rayners Lane,2025-11-27T13:14:12Z,2025-11-27T13:14:12Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T12:45:31.741Z,2025-11-27T12:45:58Z,0001-01-01T00:00:00,2025-11-27 12:46:30
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",2067313289,1,236,940GZZLUTNG,Turnham Green Underground Station,piccadilly,Piccadilly,Eastbound - Platform 3,outbound,,940GZZLUCKS,Cockfosters Underground Station,2025-11-27T12:45:58.3134238Z,1334,Between South Harrow and Sudbury Hill,Cockfosters,2025-11-27T13:08:12Z,2025-11-27T13:08:12Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T12:45:32.123Z,2025-11-27T12:45:58Z,0001-01-01T00:00:00,2025-11-27 12:46:30
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",1773398290,1,316,940GZZLUSUT,Sudbury Town Underground Station,piccadilly,Piccadilly,Westbound - Platform 1,inbound,,940GZZLURYL,Rayners Lane Underground Station,2025-11-27T12:45:58.3134238Z,44,Left Alperton,Rayners Lane,2025-11-27T12:46:42Z,2025-11-27T12:46:42Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T12:45:31.741Z,2025-11-27T12:45:58Z,0001-01-01T00:00:00,2025-11-27 12:46:30
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",682277272,1,224,940GZZLUHBN,Holborn Underground Station,piccadilly,Piccadilly,Eastbound - Platform 4,outbound,,940GZZLUCKS,Cockfosters Underground Station,2025-11-27T12:45:58.3134238Z,494,At Hyde Park Corner Platform 1,Cockfosters,2025-11-27T12:54:12Z,2025-11-27T12:54:12Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T12:45:20.754Z,2025-11-27T12:45:58Z,0001-01-01T00:00:00,2025-11-27 12:46:30
